SCAT2D
BEGSET
NAME  "planar"
ID 17255
DELEV 0.0
IXY   5000
    5000      98.0000     198.0000
    4999      96.0000     198.0000
    4998      94.0000     198.0000
    4997      92.0000     198.0000
    4996      90.0000     198.0000
    4995      88.0000     198.0000
    4994      86.0000     198.0000
    4993      84.0000     198.0000
    4992      82.0000     198.0000
    4991      80.0000     198.0000
    4990      78.0000     198.0000
    4989      76.0000     198.0000
    4988      74.0000     198.0000
    4987      72.0000     198.0000
    4986      70.0000     198.0000
    4985      68.0000     198.0000
    4984      66.0000     198.0000
    4983      64.0000     198.0000
    4982      62.0000     198.0000
    4981      60.0000     198.0000
    4980      58.0000     198.0000
    4979      56.0000     198.0000
    4978      54.0000     198.0000
    4977      52.0000     198.0000
    4976      50.0000     198.0000
    4975      48.0000     198.0000
    4974      46.0000     198.0000
    4973      44.0000     198.0000
    4972      42.0000     198.0000
    4971      40.0000     198.0000
    4970      38.0000     198.0000
    4969      36.0000     198.0000
    4968      34.0000     198.0000
    4967      32.0000     198.0000
    4966      30.0000     198.0000
    4965      28.0000     198.0000
    4964      26.0000     198.0000
    4963      24.0000     198.0000
    4962      22.0000     198.0000
    4961      20.0000     198.0000
    4960      18.0000     198.0000
    4959      16.0000     198.0000
    4958      14.0000     198.0000
    4957      12.0000     198.0000
    4956      10.0000     198.0000
    4955       8.0000     198.0000
    4954       6.0000     198.0000
    4953       4.0000     198.0000
    4952       2.0000     198.0000
    4951       0.5000     198.0000
    4950      98.0000     196.0000
    4949      96.0000     196.0000
    4948      94.0000     196.0000
    4947      92.0000     196.0000
    4946      90.0000     196.0000
    4945      88.0000     196.0000
    4944      86.0000     196.0000
    4943      84.0000     196.0000
    4942      82.0000     196.0000
    4941      80.0000     196.0000
    4940      78.0000     196.0000
    4939      76.0000     196.0000
    4938      74.0000     196.0000
    4937      72.0000     196.0000
    4936      70.0000     196.0000
    4935      68.0000     196.0000
    4934      66.0000     196.0000
    4933      64.0000     196.0000
    4932      62.0000     196.0000
    4931      60.0000     196.0000
    4930      58.0000     196.0000
    4929      56.0000     196.0000
    4928      54.0000     196.0000
    4927      52.0000     196.0000
    4926      50.0000     196.0000
    4925      48.0000     196.0000
    4924      46.0000     196.0000
    4923      44.0000     196.0000
    4922      42.0000     196.0000
    4921      40.0000     196.0000
    4920      38.0000     196.0000
    4919      36.0000     196.0000
    4918      34.0000     196.0000
    4917      32.0000     196.0000
    4916      30.0000     196.0000
    4915      28.0000     196.0000
    4914      26.0000     196.0000
    4913      24.0000     196.0000
    4912      22.0000     196.0000
    4911      20.0000     196.0000
    4910      18.0000     196.0000
    4909      16.0000     196.0000
    4908      14.0000     196.0000
    4907      12.0000     196.0000
    4906      10.0000     196.0000
    4905       8.0000     196.0000
    4904       6.0000     196.0000
    4903       4.0000     196.0000
    4902       2.0000     196.0000
    4901       0.5000     196.0000
    4900      98.0000     194.0000
    4899      96.0000     194.0000
    4898      94.0000     194.0000
    4897      92.0000     194.0000
    4896      90.0000     194.0000
    4895      88.0000     194.0000
    4894      86.0000     194.0000
    4893      84.0000     194.0000
    4892      82.0000     194.0000
    4891      80.0000     194.0000
    4890      78.0000     194.0000
    4889      76.0000     194.0000
    4888      74.0000     194.0000
    4887      72.0000     194.0000
    4886      70.0000     194.0000
    4885      68.0000     194.0000
    4884      66.0000     194.0000
    4883      64.0000     194.0000
    4882      62.0000     194.0000
    4881      60.0000     194.0000
    4880      58.0000     194.0000
    4879      56.0000     194.0000
    4878      54.0000     194.0000
    4877      52.0000     194.0000
    4876      50.0000     194.0000
    4875      48.0000     194.0000
    4874      46.0000     194.0000
    4873      44.0000     194.0000
    4872      42.0000     194.0000
    4871      40.0000     194.0000
    4870      38.0000     194.0000
    4869      36.0000     194.0000
    4868      34.0000     194.0000
    4867      32.0000     194.0000
    4866      30.0000     194.0000
    4865      28.0000     194.0000
    4864      26.0000     194.0000
    4863      24.0000     194.0000
    4862      22.0000     194.0000
    4861      20.0000     194.0000
    4860      18.0000     194.0000
    4859      16.0000     194.0000
    4858      14.0000     194.0000
    4857      12.0000     194.0000
    4856      10.0000     194.0000
    4855       8.0000     194.0000
    4854       6.0000     194.0000
    4853       4.0000     194.0000
    4852       2.0000     194.0000
    4851       0.5000     194.0000
    4850      98.0000     192.0000
    4849      96.0000     192.0000
    4848      94.0000     192.0000
    4847      92.0000     192.0000
    4846      90.0000     192.0000
    4845      88.0000     192.0000
    4844      86.0000     192.0000
    4843      84.0000     192.0000
    4842      82.0000     192.0000
    4841      80.0000     192.0000
    4840      78.0000     192.0000
    4839      76.0000     192.0000
    4838      74.0000     192.0000
    4837      72.0000     192.0000
    4836      70.0000     192.0000
    4835      68.0000     192.0000
    4834      66.0000     192.0000
    4833      64.0000     192.0000
    4832      62.0000     192.0000
    4831      60.0000     192.0000
    4830      58.0000     192.0000
    4829      56.0000     192.0000
    4828      54.0000     192.0000
    4827      52.0000     192.0000
    4826      50.0000     192.0000
    4825      48.0000     192.0000
    4824      46.0000     192.0000
    4823      44.0000     192.0000
    4822      42.0000     192.0000
    4821      40.0000     192.0000
    4820      38.0000     192.0000
    4819      36.0000     192.0000
    4818      34.0000     192.0000
    4817      32.0000     192.0000
    4816      30.0000     192.0000
    4815      28.0000     192.0000
    4814      26.0000     192.0000
    4813      24.0000     192.0000
    4812      22.0000     192.0000
    4811      20.0000     192.0000
    4810      18.0000     192.0000
    4809      16.0000     192.0000
    4808      14.0000     192.0000
    4807      12.0000     192.0000
    4806      10.0000     192.0000
    4805       8.0000     192.0000
    4804       6.0000     192.0000
    4803       4.0000     192.0000
    4802       2.0000     192.0000
    4801       0.5000     192.0000
    4800      98.0000     190.0000
    4799      96.0000     190.0000
    4798      94.0000     190.0000
    4797      92.0000     190.0000
    4796      90.0000     190.0000
    4795      88.0000     190.0000
    4794      86.0000     190.0000
    4793      84.0000     190.0000
    4792      82.0000     190.0000
    4791      80.0000     190.0000
    4790      78.0000     190.0000
    4789      76.0000     190.0000
    4788      74.0000     190.0000
    4787      72.0000     190.0000
    4786      70.0000     190.0000
    4785      68.0000     190.0000
    4784      66.0000     190.0000
    4783      64.0000     190.0000
    4782      62.0000     190.0000
    4781      60.0000     190.0000
    4780      58.0000     190.0000
    4779      56.0000     190.0000
    4778      54.0000     190.0000
    4777      52.0000     190.0000
    4776      50.0000     190.0000
    4775      48.0000     190.0000
    4774      46.0000     190.0000
    4773      44.0000     190.0000
    4772      42.0000     190.0000
    4771      40.0000     190.0000
    4770      38.0000     190.0000
    4769      36.0000     190.0000
    4768      34.0000     190.0000
    4767      32.0000     190.0000
    4766      30.0000     190.0000
    4765      28.0000     190.0000
    4764      26.0000     190.0000
    4763      24.0000     190.0000
    4762      22.0000     190.0000
    4761      20.0000     190.0000
    4760      18.0000     190.0000
    4759      16.0000     190.0000
    4758      14.0000     190.0000
    4757      12.0000     190.0000
    4756      10.0000     190.0000
    4755       8.0000     190.0000
    4754       6.0000     190.0000
    4753       4.0000     190.0000
    4752       2.0000     190.0000
    4751       0.5000     190.0000
    4750      98.0000     188.0000
    4749      96.0000     188.0000
    4748      94.0000     188.0000
    4747      92.0000     188.0000
    4746      90.0000     188.0000
    4745      88.0000     188.0000
    4744      86.0000     188.0000
    4743      84.0000     188.0000
    4742      82.0000     188.0000
    4741      80.0000     188.0000
    4740      78.0000     188.0000
    4739      76.0000     188.0000
    4738      74.0000     188.0000
    4737      72.0000     188.0000
    4736      70.0000     188.0000
    4735      68.0000     188.0000
    4734      66.0000     188.0000
    4733      64.0000     188.0000
    4732      62.0000     188.0000
    4731      60.0000     188.0000
    4730      58.0000     188.0000
    4729      56.0000     188.0000
    4728      54.0000     188.0000
    4727      52.0000     188.0000
    4726      50.0000     188.0000
    4725      48.0000     188.0000
    4724      46.0000     188.0000
    4723      44.0000     188.0000
    4722      42.0000     188.0000
    4721      40.0000     188.0000
    4720      38.0000     188.0000
    4719      36.0000     188.0000
    4718      34.0000     188.0000
    4717      32.0000     188.0000
    4716      30.0000     188.0000
    4715      28.0000     188.0000
    4714      26.0000     188.0000
    4713      24.0000     188.0000
    4712      22.0000     188.0000
    4711      20.0000     188.0000
    4710      18.0000     188.0000
    4709      16.0000     188.0000
    4708      14.0000     188.0000
    4707      12.0000     188.0000
    4706      10.0000     188.0000
    4705       8.0000     188.0000
